,track,artist,album,other,artist pop,track pop,track genre,duration,release date
20,Freedom,Rob Starr & The Hollywood Singers and Orchestra,Django Unchained,"{'danceability': 0.619, 'energy': 0.362, 'key': 1, 'loudness': -7.647, 'mode': 0, 'speechiness': 0.0264, 'acousticness': 0.555, 'instrumentalness': 1.36e-06, 'liveness': 0.114, 'valence': 0.144, 'tempo': 103.028, 'type': 'audio_features', 'id': '5Q0uilamiVtrGSeqVPN9Dn', 'uri': 'spotify:track:5Q0uilamiVtrGSeqVPN9Dn', 'track_href': 'https://api.spotify.com/v1/tracks/5Q0uilamiVtrGSeqVPN9Dn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Q0uilamiVtrGSeqVPN9Dn', 'duration_ms': 260884, 'time_signature': 4}",30,46,,260884,2014-05-18
21,Flames,David Guetta,Flames,"{'danceability': 0.609, 'energy': 0.726, 'key': 5, 'loudness': -4.346, 'mode': 0, 'speechiness': 0.0414, 'acousticness': 0.0723, 'instrumentalness': 8.45e-06, 'liveness': 0.0895, 'valence': 0.362, 'tempo': 93.958, 'type': 'audio_features', 'id': '33IOhptvC2Qoy2UhjiHXLV', 'uri': 'spotify:track:33IOhptvC2Qoy2UhjiHXLV', 'track_href': 'https://api.spotify.com/v1/tracks/33IOhptvC2Qoy2UhjiHXLV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/33IOhptvC2Qoy2UhjiHXLV', 'duration_ms': 195000, 'time_signature': 4}",86,65,big room,195000,2018-03-22
22,Kiss and Make Up,Dua Lipa,Dua Lipa (Complete Edition),"{'danceability': 0.678, 'energy': 0.729, 'key': 8, 'loudness': -4.188, 'mode': 1, 'speechiness': 0.137, 'acousticness': 0.0658, 'instrumentalness': 0, 'liveness': 0.303, 'valence': 0.643, 'tempo': 99.895, 'type': 'audio_features', 'id': '7jr3iPu4O4bTCVwLMbdU2i', 'uri': 'spotify:track:7jr3iPu4O4bTCVwLMbdU2i', 'track_href': 'https://api.spotify.com/v1/tracks/7jr3iPu4O4bTCVwLMbdU2i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7jr3iPu4O4bTCVwLMbdU2i', 'duration_ms': 189173, 'time_signature': 4}",87,73,dance pop,189173,2018-10-19
23,Cheap Thrills,Sia,This Is Acting (Deluxe Version),"{'danceability': 0.628, 'energy': 0.698, 'key': 6, 'loudness': -5.608, 'mode': 0, 'speechiness': 0.105, 'acousticness': 0.0472, 'instrumentalness': 0.00143, 'liveness': 0.0907, 'valence': 0.732, 'tempo': 89.976, 'type': 'audio_features', 'id': '3S4px9f4lceWdKf0gWciFu', 'uri': 'spotify:track:3S4px9f4lceWdKf0gWciFu', 'track_href': 'https://api.spotify.com/v1/tracks/3S4px9f4lceWdKf0gWciFu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3S4px9f4lceWdKf0gWciFu', 'duration_ms': 211667, 'time_signature': 4}",82,68,australian dance,211666,2016-10-21
24,This Is The Life,Amy Macdonald,This Is The Life (eDeluxe),"{'danceability': 0.628, 'energy': 0.882, 'key': 1, 'loudness': -5.024, 'mode': 0, 'speechiness': 0.0323, 'acousticness': 0.259, 'instrumentalness': 0, 'liveness': 0.065, 'valence': 0.853, 'tempo': 95.083, 'type': 'audio_features', 'id': '2T3jgoAMbBXiMMD8pSc6QL', 'uri': 'spotify:track:2T3jgoAMbBXiMMD8pSc6QL', 'track_href': 'https://api.spotify.com/v1/tracks/2T3jgoAMbBXiMMD8pSc6QL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2T3jgoAMbBXiMMD8pSc6QL', 'duration_ms': 184413, 'time_signature': 4}",60,77,scottish singer-songwriter,184413,2007-01-01
25,White Flag,Dido,Life For Rent,"{'danceability': 0.509, 'energy': 0.537, 'key': 5, 'loudness': -6.834, 'mode': 1, 'speechiness': 0.0384, 'acousticness': 0.347, 'instrumentalness': 7.29e-06, 'liveness': 0.0805, 'valence': 0.311, 'tempo': 170.03, 'type': 'audio_features', 'id': '6si71supnBUhddjR2FJc2L', 'uri': 'spotify:track:6si71supnBUhddjR2FJc2L', 'track_href': 'https://api.spotify.com/v1/tracks/6si71supnBUhddjR2FJc2L', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6si71supnBUhddjR2FJc2L', 'duration_ms': 240040, 'time_signature': 4}",72,75,dance pop,240040,2003
26,Price Tag,Jessie J,Who You Are (Platinum Edition),"{'danceability': 0.636, 'energy': 0.831, 'key': 5, 'loudness': -3.945, 'mode': 1, 'speechiness': 0.182, 'acousticness': 0.0294, 'instrumentalness': 3.85e-06, 'liveness': 0.272, 'valence': 0.668, 'tempo': 175.015, 'type': 'audio_features', 'id': '2fTsFCKRFQ5M0igJgabnLA', 'uri': 'spotify:track:2fTsFCKRFQ5M0igJgabnLA', 'track_href': 'https://api.spotify.com/v1/tracks/2fTsFCKRFQ5M0igJgabnLA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2fTsFCKRFQ5M0igJgabnLA', 'duration_ms': 223053, 'time_signature': 4}",68,75,dance pop,223053,2011-01-01
27,I Will Always Love You,Whitney Houston,The Bodyguard - Original Soundtrack Album,"{'danceability': 0.332, 'energy': 0.214, 'key': 4, 'loudness': -12.518, 'mode': 1, 'speechiness': 0.0349, 'acousticness': 0.845, 'instrumentalness': 5.62e-06, 'liveness': 0.0839, 'valence': 0.11, 'tempo': 67.531, 'type': 'audio_features', 'id': '4eHbdreAnSOrDDsFfc4Fpm', 'uri': 'spotify:track:4eHbdreAnSOrDDsFfc4Fpm', 'track_href': 'https://api.spotify.com/v1/tracks/4eHbdreAnSOrDDsFfc4Fpm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4eHbdreAnSOrDDsFfc4Fpm', 'duration_ms': 271093, 'time_signature': 4}",73,78,dance pop,271093,1992-11-17
28,(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours,"{'danceability': 0.526, 'energy': 0.365, 'key': 1, 'loudness': -12.605, 'mode': 1, 'speechiness': 0.028, 'acousticness': 0.0775, 'instrumentalness': 1.37e-05, 'liveness': 0.0618, 'valence': 0.254, 'tempo': 131.251, 'type': 'audio_features', 'id': '6eBK3edMW7bEzecF1eCezc', 'uri': 'spotify:track:6eBK3edMW7bEzecF1eCezc', 'track_href': 'https://api.spotify.com/v1/tracks/6eBK3edMW7bEzecF1eCezc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6eBK3edMW7bEzecF1eCezc', 'duration_ms': 394133, 'time_signature': 4}",72,64,canadian pop,394133,1991-09-24
29,Viva Forever,Spice Girls,Viva Forever,"{'danceability': 0.506, 'energy': 0.665, 'key': 6, 'loudness': -8.893, 'mode': 1, 'speechiness': 0.0366, 'acousticness': 0.0881, 'instrumentalness': 0.121, 'liveness': 0.121, 'valence': 0.203, 'tempo': 168.787, 'type': 'audio_features', 'id': '4sB9igr4cKIT358vYdjrkv', 'uri': 'spotify:track:4sB9igr4cKIT358vYdjrkv', 'track_href': 'https://api.spotify.com/v1/tracks/4sB9igr4cKIT358vYdjrkv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4sB9igr4cKIT358vYdjrkv', 'duration_ms': 254293, 'time_signature': 4}",65,47,dance pop,254293,1998-07-20
