,Unnamed: 0,track,artist,album,artist pop,track pop,track genre,duration,release date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
44,44,Don't Stop Believin',Journey,Flash Back Internacional,71,47,album rock,249653,2018-04-27,0.49,0.723,-9.699,0.0408,0.242,0,0.371,0.485,119.022
45,45,Fight Song,Rachel Platten,Wildfire,58,76,post-teen pop,204013,2016-01-01,0.564,0.714,-4.987,0.129,0.0549,0,0.155,0.33,175.924
46,46,Giant (with Rag'n'Bone Man),Calvin Harris,Giant (with Rag'n'Bone Man),83,70,dance pop,229184,2019-01-11,0.807,0.887,-4.311,0.0361,0.016,0.000503,0.0811,0.606,122.015
47,47,Dance Monkey,Tones And I,Dance Monkey,67,0,australian pop,209754,2019-05-10,0.824,0.592,-6.4,0.0969,0.693,0.000158,0.178,0.54,98.074
48,48,I'll Be There,Jess Glynne,Always In Between (Deluxe),70,0,dance pop,194386,2018-10-12,0.627,0.858,-3.116,0.0394,0.0288,0,0.199,0.399,100.074
49,49,Hall of Fame (feat. will.i.am),The Script,#3 Deluxe Version,72,83,celtic rock,202533,2012-09-10,0.421,0.873,-4.343,0.0564,0.0654,0,0.123,0.629,84.786
50,50,Classic,MKTO,MKTO,63,83,pop,175426,2012,0.72,0.791,-4.689,0.124,0.0384,0,0.157,0.756,102.071
51,51,Came Here For Love,Sigala,Pitch Perfect 3 (Original Motion Picture Soundtrack - Special Edition),65,0,dance pop,203651,2018-03-02,0.686,0.829,-4.513,0.0457,0.0243,0,0.106,0.713,125.009
52,52,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist,60,80,,258342,2012-10-09,0.641,0.922,-4.457,0.0786,0.0291,0,0.0862,0.847,146.078
53,53,I Will Wait,Mumford & Sons,Babel,68,0,modern folk rock,276720,2012-09-21,0.486,0.769,-5.14,0.0341,0.0119,0.00832,0.197,0.393,131.286
54,54,Roar,Katy Perry,PRISM (Deluxe),81,72,pop,223546,2013-10-18,0.671,0.771,-4.821,0.0316,0.00492,7.28e-06,0.354,0.436,90.003
55,55,High Hopes,Panic! At The Disco,High Hopes on Saturday Night,74,44,modern rock,192133,2018-05-23,0.519,0.908,-2.733,0.0669,0.22,0,0.0673,0.702,164.061
56,56,Call Me Maybe,Carly Rae Jepsen,Kiss,69,83,canadian pop,193400,2012-01-01,0.782,0.58,-6.548,0.0407,0.0114,2.28e-06,0.108,0.66,120.021
57,57,Wake Me Up,Avicii,True,78,86,dance pop,247426,2013-01-01,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08
58,58,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,72,83,melodic rap,196652,2019-12-06,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971
59,59,drivers license,Olivia Rodrigo,drivers license,86,17,pop,242013,2021-01-08,0.575,0.425,-8.821,0.055,0.739,1.48e-05,0.112,0.15,144.004
60,60,All I Want,Olivia Rodrigo,High School Musical: The Musical: The Series (Original Soundtrack),86,73,pop,177322,2020-01-10,0.376,0.43,-6.585,0.0328,0.0902,0,0.0912,0.129,77.599
61,61,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),70,76,dance pop,221946,2011-10-24,0.562,0.939,-4.282,0.0475,0.046,0,0.112,0.684,116.044
62,62,Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives (International Version),81,82,pop,202066,2009-01-01,0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021
63,63,Up (feat. Demi Lovato),Olly Murs,Never Been Better (Expanded Edition),62,68,dance pop,224293,2014-11-24,0.692,0.831,-5.389,0.034,0.0146,0,0.103,0.676,114.972
64,64,Domino,Jessie J,Who You Are (Platinum Edition),68,76,dance pop,231840,2011-01-01,0.758,0.557,-4.568,0.034,0.0117,0,0.0418,0.781,126.986
65,65,Price Tag,Jessie J,Who You Are (Platinum Edition),68,75,dance pop,223053,2011-01-01,0.636,0.831,-3.945,0.182,0.0294,3.85e-06,0.272,0.668,175.015
66,66,Bang Bang,Jessie J,Sweet Talker (Deluxe Version),68,78,dance pop,199386,2014-10-10,0.706,0.786,-3.417,0.091,0.26,0,0.38,0.751,150.028
67,67,TiK ToK,Kesha,Animal (Expanded Edition),75,85,dance pop,199693,2010-01-01,0.755,0.837,-2.718,0.142,0.0991,0,0.289,0.714,120.028
68,68,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,Hands All Over (Revised International Standard version),82,81,pop,201493,2010,0.722,0.761,-4.46,0.0475,0.0119,0,0.315,0.624,128.046
69,69,What Makes You Beautiful,One Direction,Up All Night,81,85,boy band,199986,2012-05-25,0.726,0.787,-2.494,0.0737,0.009,0,0.0596,0.888,124.99
70,70,Story of My Life,One Direction,Midnight Memories (Deluxe),81,84,boy band,245493,2013-11-25,0.6,0.663,-5.802,0.0477,0.225,0,0.119,0.286,121.07
